offerdLoad,throughput,numOfTransmissions,numOfCollisions,fracMediaFree,numPktPerNode,avgLatencyPerNode
0.1,0.103325499732,100290,290,0.93870714888,10000,128.15602

0.2,0.208403974689,101088,1088,0.87614492724,10000,148.62333

0.3,0.31452713118,102617,2617,0.812249397598,10000,178.52544

0.4,0.422781113632,105151,5151,0.746531656881,10000,226.14463

0.5,0.527210648588,110637,10637,0.680002493088,10000,327.97949

0.6,0.646416395076,123545,23545,0.59952802884,10000,736.82143

0.7,0.73884726866,155415,55415,0.518389248728,10000,266880.64426

0.8,0.741858729371,156043,56043,0.515652732542,10000,1126939.29151

0.9,0.741877389761,155825,55825,0.515895830682,10000,1795742.72001

10.0,0.741011186677,156379,56379,0.516857673001,10000,6878410.10525

1.0,0.743100708852,156738,56738,0.515628110977,10000,2361482.78342

1.1,0.741495680141,155908,55908,0.516253900345,10000,2812470.6051

1.2,0.742481117475,156508,56508,0.515599215266,10000,3196227.22168

1.3,0.740689008817,156534,56534,0.516253916392,10000,3516546.37581

1.4,0.741199445319,156330,56330,0.516666508564,10000,3800278.93265

1.5,0.74080782644,155926,55926,0.517051843379,10000,4042025.94213

1.6,0.741294284194,156645,56645,0.515107796904,10000,4228672.80189

1.7,0.741752431869,155358,55358,0.516726969143,10000,4423820.37624

1.8,0.741714703635,155964,55964,0.5163062021,10000,4578283.52037

1.9,0.739511675187,156062,56062,0.517389736382,10000,4734265.90718

2.0,0.742383734563,155938,55938,0.515943826785,10000,4862527.86144

2.1,0.742072527633,155652,55652,0.515991330426,10000,4974602.87395

2.2,0.742903990978,156014,56014,0.515658660514,10000,5091705.44329

2.3,0.740906028493,156350,56350,0.515713366475,10000,5185847.77511

2.4,0.741544761714,156237,56237,0.516144836969,10000,5295395.17781

2.5,0.740755765367,156498,56498,0.51672807324,10000,5367283.49291

2.6,0.740996336227,155642,55642,0.516869118154,10000,5434744.22314

2.7,0.743190168467,156377,56377,0.516030630578,10000,5525889.77819

2.8,0.74227521012,155504,55504,0.516726100717,10000,5572130.2261

2.9,0.741450926095,155606,55606,0.516906356023,10000,5637756.63142

3.0,0.742353970415,156110,56110,0.515779881725,10000,5695918.44525

3.1,0.74180890689,156183,56183,0.51623964604,10000,5743154.01972

3.2,0.744720310012,155631,55631,0.51570541696,10000,5795686.51733

3.3,0.740333902076,156512,56512,0.51600728566,10000,5844047.80012

