offerdLoad,throughput,numOfTransmissions,numOfCollisions,fracMediaFree,numPktPerNode,avgLatencyPerNode
8.1,0.73323328587,155172,55172,0.514260281097,10000,6766063.41162
8.2,0.730004539996,155673,55673,0.513911175951,10000,6780217.97577
8.3,0.732158626136,156323,56323,0.51342420911,10000,6786430.45378
8.4,0.731121959991,156177,56177,0.513714136537,10000,6796659.8908
8.5,0.730377186227,155690,55690,0.51423594278,10000,6802192.94837
8.6,0.730191296145,156230,56230,0.51344263161,10000,6804986.51982
8.7,0.728719458549,156510,56510,0.514167897077,10000,6822662.81913
8.8,0.734214695577,155596,55596,0.513858439816,10000,6823913.63606
8.9,0.731117869339,155817,55817,0.514159243874,10000,6839289.92533
9.0,0.730494235918,156775,56775,0.513969082159,10000,6850861.02
9.1,0.728847952999,156341,56341,0.515189096679,10000,6867888.57575
9.2,0.730656193832,155963,55963,0.513749575281,10000,6856519.33041
9.3,0.728074623314,156739,56739,0.514048609058,10000,6866069.58438
9.4,0.727097795566,156152,56152,0.514146592221,10000,6845853.799
9.5,0.732090333109,155900,55900,0.513911780831,10000,6867199.15783
9.6,0.730943482531,155962,55962,0.513862642183,10000,6866072.34999
9.7,0.731664268263,155133,55133,0.51402161922,10000,6874392.40464
9.8,0.730881794116,156189,56189,0.513002202829,10000,6863961.70914
9.9,0.733663448853,156315,56315,0.512775364359,10000,6885777.11195
